title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Sakebi	2006	NULL	NULL	2006-10-01	104	8	tt0843302	Crime-Drama-Horror-Mystery-Science Fiction-Thriller-Foreign
Sakuran	2006	NULL	NULL	2006-12-07	111	5.8	tt0794338	Drama-History
Salaam Bombay	1988	NULL	2080046	1988-01-01	113	6	tt0096028	Drama-Foreign
Salaam Namaste	2005	2500000	NULL	2005-09-09	158	6.3	tt0456165	Comedy-Drama-Eastern-Romance-Foreign
Salaire de la peur Le	1953	NULL	NULL	1953-04-22	131	9	tt0046268	Adventure-Drama-Thriller
Salmon Fishing In The Yemen	2011	NULL	9025107	2011-09-10	107	6.3	tt1441952	Drama-Romance
Salo O Le Giornate Di Sodoma	1975	NULL	NULL	1975-11-22	116	6.6	tt0073650	Drama
Salt	2010	110000000	293329073	2010-07-23	100	6.2	tt0944835	Action-Crime-Mystery-Thriller
Salton Sea The	2002	18000000	676698	2002-02-02	103	7.5	tt0235737	Drama-Mystery-Thriller-Neo-noir
Salvador	1986	NULL	NULL	1986-04-23	123	7.9	tt0091886	Drama-History-Thriller
Salvation Boulevard	2011	8000000	NULL	2011-07-15	96	4.8	tt1251743	Action-Comedy-Drama-Thriller
Salvatore Giuliano	1962	NULL	NULL	1962-02-28	123	4	tt0055399	Action-Drama-Foreign
Samaria	2004	400000	NULL	2004-03-05	95	8.2	tt0397619	Drama-Foreign
Samoa Regina della Jungla	1968	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Samson and Delilah	1949	3000000	11500000	1949-12-21	128	7.8	tt0041838	Drama-Romance
Stand by for Action	1942	NULL	NULL	1942-12-31	109	NULL	tt0036386	Action-Drama-War
Samurai Ayothaya	2010	NULL	NULL	2010-12-02	100	7	tt1905010	Action-Drama
San ging chaat goo si	2004	NULL	NULL	2004-09-24	123	6.9	tt0386005	Action-Crime-Drama-Thriller
San kei hap lui	2011	NULL	NULL	2011-02-03	100	5.7	tt1623759	Action-Comedy-Romance
San qiang pai an jing qi	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
San suk si gin	2009	15000000	NULL	2009-04-02	119	7.3	tt1075419	Action-Crime-Drama-Thriller
San taam	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sanbiki no samurai	1964	NULL	NULL	1964-05-13	95	10	tt0058652	Action-Drama
Sanctum	2011	30000000	108943221	2011-02-04	108	6	tt0881320	Action-Thriller
Sandlot 2 The	2005	NULL	NULL	2005-05-03	97	5.4	tt0418131	Comedy-Family-Sports Film
Sandlot The	1993	NULL	32416586	1993-04-07	101	7.2	tt0108037	Comedy-Family-Sports Film
Sang sattawat	2006	NULL	NULL	2007-09-20	105	6	tt0477731	Drama-Romance-Foreign
Sanghaj	2012	50000000	NULL	2010-06-17	105	5.2	tt1092634	Drama-Mystery-Thriller-Romance
Sangre iluminada La	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sanguepazzo	2008	NULL	NULL	2008-09-09	148	6.5	tt1073624	Drama-History
Sanma no aji	1962	NULL	NULL	1962-11-18	112	8.5	tt0056444	Drama-Indie-Foreign
Sans kapiyi kirinca	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Santa Buddies: The Legend of Santa Paws	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sapphires The	2012	NULL	NULL	2012-08-08	103	6.7	tt1673697	Comedy-Drama-Musical
Saraband	2003	NULL	NULL	2003-12-01	120	7	tt0299478	Drama-Music
Sarah Landon and the Paranormal Hour	2007	NULL	586283	2007-10-19	81	2	tt0990376	Horror-Mystery-Thriller-Family
Saranghanda saranghaji anneunda	2011	NULL	NULL	2011-03-03	105	7.5	tt1832453	Drama-Romance-Foreign
Sarkar	2005	NULL	NULL	2005-07-01	123	NULL	tt0432047	Action-Drama-Eastern-Foreign
Sasameyuki	1983	NULL	NULL	1983-12-30	140	NULL	tt0086242	Drama-Romance-Indie-Foreign
Satan Met a Lady	1936	NULL	NULL	1936-07-22	74	5.8	tt0028219	Comedy-Drama-Mystery
Satisfaction	1988	NULL	8	1988-02-12	92	6.4	tt0096037	Comedy
Satree lek 2	2003	NULL	NULL	2003-03-07	100	NULL	tt0355977	NULL
Satsujin Douga Site	2010	NULL	NULL	2010-09-19	117	NULL	NULL	NULL
Saturday Night and Sunday Morning	1960	NULL	NULL	1960-08-29	89	9.5	tt0054269	Drama
Saturday Night Fever	1977	NULL	139486124	1977-12-16	118	6.7	tt0076666	Drama-Music
Saturn 3	1980	NULL	NULL	1980-02-15	88	5.3	tt0079285	Science Fiction-Thriller
Saturno Contro	2007	NULL	NULL	2007-02-23	110	8	tt0890885	Drama
Sauna	2008	NULL	NULL	2008-08-05	85	6.3	tt1124394	Horror
Savage Grace	2007	4600000	NULL	2007-05-18	97	5.5	tt0379976	Drama
Savage InnocentsThe	1959	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Savages	2012	45000000	47000000	2012-07-06	131	5.9	tt1615065	Crime-Drama-Thriller
Savages The	2007	NULL	NULL	2007-01-19	114	7.3	tt0775529	Drama-Indie
Save Me	2007	NULL	NULL	2007-01-01	NULL	8	tt0772200	Drama-Indie
Save The Last Dance 2	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Save the Tiger	1973	NULL	NULL	1973-02-14	100	6.5	tt0070640	Drama
