title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Flugten	2009	NULL	NULL	2009-01-09	114	8	tt1202522	Drama-Thriller-Foreign
Flukt	2012	NULL	NULL	2012-09-28	76	5.8	tt2076850	Action-History-Suspense
Flushed Away	2006	149000000	64459316	2006-10-22	85	5.7	tt0424095	Adventure-Animation-Comedy-Family
Fly Me To The Moon	2008	NULL	NULL	2008-08-15	84	4.2	tt0486321	Action-Adventure-Animation-Fantasy-Science Fiction-Family
Fly The	1986	15000000	40456565	1986-08-15	96	6.4	tt0091064	Horror-Science Fiction
Flyboys	2006	60000000	17800000	2006-09-22	140	6	tt0454824	Action-Adventure-Drama-History-Romance-War
Flyboys The	2008	NULL	NULL	2008-08-15	118	7.3	tt0357668	Action-Adventure
Flying Machine The	2011	NULL	NULL	2011-02-12	85	5	tt1537314	Adventure-Animation-Family
Flying Padre: An RKOPathe Screenliner	1951	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Flypaper	2011	5000000	NULL	2011-08-19	87	6.6	tt1541160	Action-Comedy-Romance
Fog Of War: Eleven Lessons From The Life Of Robert S Mcnamara The	2003	NULL	NULL	2003-12-09	95	8.3	tt0317910	Documentary
Follow the Fleet	1936	NULL	NULL	1936-02-20	110	6.7	tt0027630	Comedy-Music-Romance
Following	1998	NULL	NULL	1998-09-12	69	7.5	tt0154506	Crime-Drama-Suspense-Thriller-Indie
Fong juk	2006	4500000	NULL	2006-09-06	110	6.5	tt0796212	Action-Crime-Thriller
Fonte des neiges La	2009	NULL	NULL	2009-02-02	28	7.8	tt1354003	Comedy-Drama-Foreign-Short
Foo Fighters: Back and Forth	2011	NULL	NULL	2011-04-05	150	9	tt1853563	Documentary-Music
Food Inc	2008	NULL	NULL	2008-09-07	94	7.3	tt1286537	Documentary
Foolproof	2003	8256269	460978	2003-10-03	97	5.9	tt0356614	Action
Football Factory The	2004	NULL	NULL	2004-05-13	91	7.6	tt0385705	Drama-Foreign
Footloose	1984	8200000	80000000	1984-02-17	107	5.4	tt0087277	Drama-Music-Romance-Family
Footloose	2011	25000000	NULL	2011-10-14	113	5.9	tt1068242	Comedy-Drama-Music-Romance
For a Good Time Call	2012	NULL	NULL	2012-08-31	85	5.9	tt1996264	Comedy
For Colored Girls	2010	NULL	37000000	2010-11-05	134	7.5	tt1405500	Drama-Indie
For Greater Glory: The True Story of Cristiada	2012	12000000	9622846	2012-06-01	145	8.3	tt1566501	Drama-History-War-Foreign
For Richer or Poorer	1997	35000000	31611225	1997-12-12	115	4.7	tt0119142	Comedy-Romance-Family
For the Love of Money	2012	NULL	NULL	2012-06-08	93	6.7	tt1730294	Action-Crime-Drama-Thriller
For Your Consideration	2006	12000000	5542025	2006-11-22	86	5.5	tt0470765	Comedy-Drama
Forbidden Dance The	1990	NULL	NULL	1990-03-16	97	NULL	tt0099595	NULL
Forbidden Kingdom The	2008	55000000	127906624	2008-04-18	104	6.1	tt0865556	Action-Adventure-Fantasy-Science Fiction
Forbidden Planet	1956	4900000	23500000	1956-03-15	98	7.6	tt0049223	Science Fiction
Foreign Affair A	1948	NULL	NULL	1948-08-20	116	8	tt0040367	Comedy-Romance
Foreign Correspondent	1940	NULL	NULL	1940-08-16	120	6.3	tt0032484	Mystery-Thriller-War
Foreign Exchange	2008	NULL	NULL	2008-09-09	126	NULL	tt1146283	Action-Comedy-Horror
Forever Young	1992	NULL	128000000	1992-12-16	102	5.4	tt0104291	Adventure-Drama-Fantasy-Science Fiction-Romance
Forger The	2012	NULL	NULL	2012-07-03	96	7.6	tt1368858	Drama
Forget Me Not	2009	NULL	NULL	2009-10-22	103	6.1	tt1147684	Drama-Horror-Romance-Indie
Forgetting Sarah Marshall	2008	30000000	105173115	2008-04-17	111	6.2	tt0800039	Comedy-Drama-Romance
Forgiveness of Blood The	2011	NULL	NULL	2011-02-18	109	7	tt1787127	Drama-Foreign
Forgotten The	2004	42000000	117575636	2004-09-24	91	4.9	tt0356618	Crime-Drama-Horror-Mystery-Science Fiction-Thriller
Forks Over Knives	2011	NULL	664747	2011-05-06	90	6.8	tt1567233	Documentary
Formosa Betrayed	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Forrest Gump	1994	55000000	679400000	1994-06-22	142	7.6	tt0109830	Comedy-Drama-Romance
Fort Apache	1948	NULL	NULL	1948-03-26	125	6.9	tt0040369	Western
Fort Saganne	1984	NULL	NULL	1984-05-11	180	6	tt0087284	Drama
Fortress	1992	8000000	46739141	1993-09-03	95	6.6	tt0106950	Action-Science Fiction-Thriller
Foster	2011	NULL	NULL	2011-02-10	90	8.7	tt1629443	Comedy-Drama-Family
Founding of a Party The	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fountain The	2006	35000000	15304890	2006-11-22	96	6.9	tt0414993	Adventure-Drama-Science Fiction-Romance
Fountainhead The	1949	NULL	NULL	1949-07-02	114	7	tt0041386	Drama
Four Boxes	2009	NULL	NULL	2009-05-01	84	NULL	tt1144545	Suspense-Thriller
Four Brothers	2005	45000000	92374674	2005-08-11	109	6.4	tt0430105	Action-Crime-Drama-Thriller
Four Christmases	2008	80000000	NULL	2008-11-26	88	5.3	tt0369436	Comedy-Drama-Romance
Four Dragons	2008	NULL	NULL	2008-12-04	92	6	tt1356802	Action-Adventure-Foreign
Four Friends	1981	NULL	NULL	1981-12-11	115	NULL	tt0082404	Drama-Romance
Four Letter Word A	2007	NULL	NULL	2007-02-03	NULL	NULL	tt0250524	Romance
Four Lions	2010	967686	4270000	2010-05-07	101	7.1	tt1341167	Comedy-Crime-Drama
Four Rooms	1995	4000000	4300000	1995-12-25	98	6.6	tt0113101	Comedy
Four Weddings and a Funeral	1994	6000000	254700832	1994-03-09	117	6	tt0109831	Comedy-Drama-Romance
FourFaced Liar The	2010	2000000	NULL	2010-01-01	87	4	tt1174693	Comedy-Drama-Romance
Fourth Kind The	2009	10000000	42333295	2009-11-06	98	6.1	tt1220198	Drama-Horror-Mystery-Science Fiction-Thriller
Fourth Protocol The	1987	NULL	NULL	1987-08-28	119	6.6	tt0093044	Action-Drama-Thriller
Foxy Brown	1974	NULL	NULL	1974-04-05	94	7.2	tt0071517	Action-Adventure-Crime-Drama
Fracture	2007	NULL	39000000	2007-04-20	113	6.7	tt0488120	Thriller
Frailty	2001	11000000	13110448	2001-11-17	100	7.6	tt0264616	Crime-Drama-Thriller
Francesco	1989	14500000	NULL	1989-03-21	157	NULL	tt0097383	Drama-Foreign
Franco 14 Pesetas Un	2006	NULL	NULL	2006-03-19	96	NULL	tt0479230	Comedy-Drama
Frankenstein	1931	NULL	NULL	1931-11-21	71	7.3	tt0021884	Horror
Frankenstein	1994	45000000	112000000	1994-11-04	123	5.5	tt0109836	Drama-Horror-Science Fiction-Romance
Frankenstein Theory The	2013	NULL	NULL	2013-03-01	87	8	tt2646378	Horror-Science Fiction
Frankenstein Unbound	1990	NULL	NULL	1990-11-02	82	5.8	tt0099612	Drama-Horror-Science Fiction
Frankenweenie	2012	39000000	81491068	2012-10-04	87	6.2	tt1142977	Animation-Comedy-Family
Franklyn	2008	12000000	NULL	2008-10-16	98	6.4	tt0893402	Drama-Science Fiction-Thriller-Foreign
Frantic	1988	NULL	NULL	1988-02-16	120	5.9	tt0095174	Action-Drama-Mystery-Thriller
Frat Party	2009	NULL	NULL	2009-01-01	84	NULL	tt1414361	Comedy-Romance-Sports Film
Freakonomics	2010	3000000	103735	2010-10-01	93	7.8	tt1152822	Documentary-Indie
Freaks	1932	NULL	NULL	1932-02-20	64	8.1	tt0022913	Drama-Horror-Thriller
Freaky Deaky	2012	NULL	NULL	2012-04-22	90	5.3	tt0938305	Comedy
Freaky Friday	1976	NULL	NULL	1976-12-17	95	8.2	tt0076054	Comedy-Fantasy-Science Fiction-Family
Freaky Friday	2003	NULL	NULL	2003-08-03	97	5.8	tt0322330	Comedy-Fantasy-Family
Fred 2: Night of the Living Fred	2011	NULL	NULL	2011-10-22	84	8	tt1927093	Adventure-Comedy-Horror-Family
Fred Claus	2007	NULL	97838349	2007-11-03	116	5.3	tt0486583	Action-Comedy-Drama-Holiday
Freddy vs Jason	2003	30000000	114908830	2003-08-15	97	6	tt0329101	Horror
Free Jimmy	2006	NULL	NULL	2006-04-21	86	6.5	tt0298337	Animation-Comedy-Foreign
Free Style	2008	NULL	140987	2009-10-09	94	5.7	tt1128071	Drama-Family
Free Willy	1993	20000000	153698625	1993-07-16	112	5.3	tt0106965	Adventure
Freedom Downtime	2001	NULL	NULL	2001-01-01	121	NULL	tt0309614	Documentary-Drama-Foreign
Freedom Writers	2007	21000000	41170784	2007-01-05	123	6.8	tt0463998	Drama
Freedomland	2006	37665000	14655628	2006-02-17	113	6.4	tt0349467	Crime-Drama-Mystery-Thriller
Freejack	1992	NULL	NULL	1992-01-17	110	5.7	tt0104299	Science Fiction
French Connection The	1971	1800000	41158757	1971-10-07	104	6.3	tt0067116	Action-Crime-Thriller
French Kiss	1995	NULL	NULL	1995-05-05	111	5.6	tt0113117	Comedy-Romance
Frenzy	1972	3500000	12600000	1972-05-25	116	7.5	tt0068611	Crime-Drama-Mystery-Suspense-Thriller
Frequency	2000	31000000	68106245	2000-04-28	118	6.8	tt0186151	Crime-Drama-Science Fiction-Thriller
Frequently Asked Questions About Time Travel	2009	NULL	NULL	2009-04-24	83	8	tt0910554	Comedy-Drama-Science Fiction-Romance
Fresh	1994	NULL	NULL	1994-08-24	114	8	tt0109842	Crime-Drama-Thriller
Freunde	2001	NULL	NULL	2001-02-26	21	NULL	tt0297125	NULL
Frida	2002	12000000	56298474	2002-08-29	123	7.2	tt0120679	Drama-Romance
Friday	1995	3500000	28215918	1995-04-26	91	7.1	tt0113118	Comedy-Drama
Friday After Next	2002	20000000	33526835	2002-11-22	85	8	tt0293815	Comedy-Drama
Friday The 13th	1980	550000	59754601	1980-05-09	95	6.4	tt0080761	Horror
Friday the 13th	2009	19000000	91000000	2009-02-13	97	6.1	tt0758746	Horror
Friday the 13th Part 2: Jason	1981	NULL	NULL	1981-05-01	87	6.9	tt0082418	Horror-Thriller
Friday The 13th Part III	1982	4	36	1982-08-13	95	6.3	tt0083972	Horror-Thriller
Friday The 13th Part VII: The New Blood	1988	2800000	19	1988-05-13	88	5.8	tt0095179	Horror-Thriller
Friday The 13th Part VIII: Jason Takes Manhattan	1989	5000000	14000000	1989-07-28	100	5.2	tt0097388	Horror-Thriller
Friday The 13th: A New Beginning	1985	2	21	1985-03-22	92	5.4	tt0089173	Horror-Thriller
Friday The 13th: The Final Chapter	1984	NULL	32	1984-04-13	91	6.4	tt0087298	Horror-Thriller
Fried Green Tomatoes	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Friends & Crocodiles	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Friends and Family	2001	NULL	NULL	2001-06-17	87	NULL	tt0206762	Action-Comedy-Indie
Friends of Eddie Coyle The	1973	NULL	NULL	1973-06-26	102	8	tt0070077	Crime-Drama-Suspense
Friends With Benefits	2011	35000000	150483765	2011-07-21	109	6	tt1632708	Comedy
Friends with Kids	2011	7251073	12186625	2012-03-09	107	5.9	tt1720616	Comedy-Romance
Fright Night	1985	9000000	24922237	1985-08-02	106	7	tt0089175	Comedy-Horror-Thriller
Frighteners The	1996	30000000	16524115	1996-07-18	110	6.6	tt0116365	Comedy-Horror-Mystery
Frisco Kid The	1979	NULL	NULL	1979-07-06	114	5.9	tt0079180	Action-Comedy
Frits en Freddy	2010	NULL	NULL	2010-12-08	89	5.7	tt1678044	Comedy
Fritt vilt	2006	NULL	NULL	2006-10-13	97	6.7	tt0808276	Drama-Horror-Mystery-Thriller
Fritt vilt II	2008	NULL	NULL	2008-10-09	86	7.4	tt1188990	Drama-Horror-Mystery-Thriller
Fritt vilt III	2010	NULL	NULL	2010-10-15	95	7.6	tt1464535	Horror
From Beyond	1986	4500000	1261000	1986-06-05	86	7.3	tt0091083	Fantasy-Horror-Science Fiction
From Dusk Till Dawn	1996	19000000	25836616	1996-01-18	108	6.7	tt0116367	Action-Crime-Horror-Thriller
From Dusk Till Dawn 2: Texas Blood Money	1999	5000000	NULL	1999-03-16	88	5.3	tt0120860	Action-Horror-Thriller
From Hell	2001	35000000	74558115	2001-10-19	122	6	tt0120681	Action-Adventure-Crime-Drama-Horror-Mystery-Thriller
From Mexico with Love	2009	NULL	NULL	2009-03-15	NULL	NULL	tt0457355	Action-Adventure-Drama
From Paris With Love	2010	52000000	52615806	2010-02-05	92	6.2	tt1179034	Action-Crime-Thriller
From Prada To Nada	2011	93	2500000	2011-01-28	107	5	tt0893412	Comedy-Drama-Romance
From Russia With Love	1963	2500000	78898765	1963-10-11	115	6.5	tt0057076	Action-Adventure-Thriller
From Time to Time	2009	NULL	NULL	2009-10-25	95	7.5	tt1031241	Adventure-Drama-Fantasy
From Within	2008	NULL	66456	2008-04-24	89	6.3	tt1063056	Horror-Mystery-Thriller
Frost/Nixon	2008	NULL	NULL	2008-12-05	122	6.8	tt0870111	Drama
Frozen	2010	NULL	3065860	2010-02-05	93	6.1	tt1323045	Thriller
Frozen Kiss	2009	NULL	NULL	2009-12-11	90	NULL	tt1186363	Drama-Thriller
Frozen River	2008	NULL	NULL	2008-08-01	97	6.8	tt0978759	Crime-Drama-Thriller
Fu chou	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fu gui bing tuan	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fu rong zhen	1986	NULL	NULL	1986-01-01	164	9	tt0087301	NULL
Fuck Up	2012	NULL	NULL	2012-03-16	100	3.6	tt2201063	Drama
Fuga dal paradiso	1990	NULL	NULL	1990-01-01	105	NULL	tt0099621	NULL
Fugitive Hunter	2005	NULL	NULL	2005-01-01	88	NULL	tt0407761	Action-Thriller
Fugitive Pieces	2007	NULL	NULL	2007-09-06	104	8.5	tt0765451	Drama-Romance
Fugitive The	1993	44000000	368875760	1993-08-05	130	6.7	tt0106977	Action-Adventure-Crime-Mystery-Thriller
Fujoshi Kanojo	2009	NULL	NULL	2009-05-02	98	NULL	tt1424056	Comedy-Drama-Romance
Full Metal Jacket	1987	17000000	46357676	1987-05-31	116	7.3	tt0093058	Drama-War
Full Of It	2007	NULL	NULL	2007-03-01	91	6.6	tt0446752	Comedy-Drama-Family
Fun Size	2012	NULL	NULL	2012-10-26	87	5.9	tt1663143	Comedy
Fun with Dick and Jane	1977	NULL	NULL	1977-03-18	95	6.5	tt0076059	Comedy-Crime
Funeral Kings	2012	NULL	NULL	2012-11-16	85	7.5	tt1951133	Comedy
Funeral The	1996	NULL	NULL	1996-11-10	99	8.5	tt0116378	Action-Crime-Drama-Thriller
Fung wan II	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Funky Monkey	2004	NULL	30000000	2004-08-04	94	NULL	tt0331509	Comedy-Family
Funny About Love	1990	NULL	NULL	1990-09-21	101	8	tt0099623	Comedy-Drama-Romance
Funny Farm	1988	NULL	NULL	1988-06-03	101	6.7	tt0095188	Comedy
Funny Games	1997	NULL	NULL	1997-05-14	103	7.4	tt0119167	Drama-Horror-Thriller
Funny Games US	2007	15000000	NULL	2007-10-20	112	5.6	tt0808279	Horror-Thriller
Funny Money	2006	NULL	NULL	2006-01-01	98	5.3	tt0244521	Action-Comedy-Thriller
Funny People	2009	75000000	61458982	2009-07-31	146	5.2	tt1201167	Comedy-Drama
Fury	1936	NULL	NULL	1936-05-29	90	8	tt0027652	Drama
Fury The	1978	5	NULL	1978-03-10	118	6.4	tt0077588	Drama-Horror-Science Fiction-Thriller
Futurama: Into the Wild Green Yonder	2009	NULL	NULL	2009-02-24	90	7.1	tt1054487	Animation-Comedy
Futurama: The Beast With A Billion Backs	2008	NULL	NULL	2008-06-24	90	6.6	tt1054485	Animation-Comedy-Fantasy-Science Fiction
Future Weather	2012	NULL	NULL	2012-04-29	100	NULL	tt1701215	Drama
Flying Tigers	1942	NULL	NULL	1942-10-08	102	5.8	tt0034742	Action-Drama-History
Free to Play	2014	150000	NULL	2014-03-19	75	8.3	tt3203290	Documentary
Fridericus	1937	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fiddler on the Roof	1971	9000000	NULL	1971-01-01	181	6.7	tt0067093	Drama-Music-Romance
Fanny	2013	NULL	NULL	2013-07-10	102	5	tt1872101	Drama
Faro	2013	NULL	NULL	2013-03-15	88	NULL	tt2188741	Drama-Thriller
Flores Raras	2013	NULL	NULL	2013-08-09	118	5.5	tt2217458	Drama-Romance
Far from the Madding Crowd	1967	NULL	NULL	1967-06-18	166	6	tt0061648	Drama-Romance
Favor	2013	NULL	NULL	2013-04-05	102	7	tt1971397	Thriller
Flight of Dragons The	1982	NULL	NULL	1982-08-03	96	8.6	tt0083951	Animation-Fantasy-Family
Fires Were Started	1943	NULL	NULL	1943-04-12	63	NULL	tt0035881	NULL
For Ever Mozart	1996	NULL	NULL	1996-11-27	84	NULL	tt0116334	Comedy-Drama-War-Foreign
Frankie Go Boom	2012	NULL	NULL	2012-10-12	89	5.1	tt1772271	Comedy
Ferris Buellers Day Off	1986	NULL	70136369	1986-06-11	103	6.7	tt0091042	Comedy-Drama
Family Weekend	2013	NULL	NULL	2013-03-28	105	6.9	tt1821426	Comedy-Drama
Fahrenheit 451	1966	NULL	NULL	1966-09-06	112	7.2	tt0060390	Science Fiction
Feds	1988	NULL	3527636	1988-10-28	90	NULL	tt0095145	Action-Comedy-Family
Fallo	2003	NULL	NULL	2003-08-28	86	2	tt0372909	Erotic
Flesh+Blood	1985	6500000	NULL	1985-08-30	126	6.8	tt0089153	Action-Adventure-Fantasy
Five Heartbeats The	1991	NULL	NULL	1991-03-29	121	7.4	tt0101891	Drama-Music
Face Off	1997	80000000	245676146	1997-06-26	138	6.3	tt0119094	Action-Crime-Science Fiction-Thriller
Father Goose	1964	NULL	NULL	1964-10-12	118	7	tt0058092	Adventure-Comedy-Romance
Finding Mr Right	2013	4881000	81350000	2013-03-20	123	6.5	tt2169322	Comedy-Romance
Furious 6	2013	160000000	788679850	2013-05-22	130	6.5	tt1905041	Action-Crime-Thriller
Finding Joy	2013	NULL	NULL	2013-06-07	96	NULL	tt1975158	Comedy
Fast And Furious 6	2013	160000000	788679850	2013-05-22	130	6.5	tt1905041	Action-Crime-Thriller
Flying Monkeys	2013	NULL	NULL	2013-03-09	85	NULL	tt2205652	Fantasy-Horror-Science Fiction
Fin	2012	NULL	NULL	2012-11-23	95	4.7	tt2046090	Drama-Thriller
Frankensteins Army	2013	NULL	NULL	2013-07-26	84	6.5	tt1925435	Action-Horror
Firecrosser	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
From the Sky Down	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Faszination Afrika 3D	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Front of the Class	2008	NULL	NULL	2008-01-01	95	7	tt1292594	Drama
Festen	1998	1300000	NULL	1998-05-20	105	8.8	tt0154420	Drama
Final Analysis	1992	NULL	28590665	1992-03-05	117	6.8	tt0104265	Drama-Thriller-Romance
Full Monty The	1997	3500000	257850122	1997-08-29	91	7	tt0119164	Comedy
First Freedom: The Fight for Religious Liberty	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fairytale The Haunting of Helena	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fred Wont Move Out	2012	NULL	NULL	2012-09-21	74	NULL	tt1934260	Drama
Fat Kid Rules the World	2012	NULL	NULL	2012-10-05	98	4	tt1995304	Comedy-Drama
Forbidden Woman	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fogo	2012	NULL	NULL	2012-05-20	61	NULL	tt2147374	NULL
Forbidden Ground	2013	NULL	NULL	2013-12-11	95	6.5	tt2186783	Action-Drama-War
Feynman and the Challenger	2013	NULL	NULL	2013-11-16	120	7.4	tt2421662	Documentary-Drama
Fils du vent Les	2004	NULL	NULL	2004-06-23	90	7	tt0345235	Action-Adventure-Drama-Foreign
Forbrydelsens element	1984	NULL	NULL	1984-05-18	104	10	tt0087280	Crime-Drama-Science Fiction-Suspense-Thriller-Indie-Foreign
Fiesta	1995	NULL	NULL	1995-11-15	108	NULL	tt0113054	Drama
Faustyna	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
February	2003	NULL	NULL	2003-02-13	107	5.5	tt0370561	Drama
Fatal	2010	17289533	NULL	2010-06-16	95	7.2	tt1473357	Comedy-Musical
Firefly 10th Anniversary: Browncoats Unite	2012	NULL	NULL	2012-11-11	60	NULL	tt2505388	TV Movie
Frankie Boyle Live 2: If I Could Reach Out Through Your TV and Strangle You I Would	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fright Night 2	2013	8000000	NULL	2013-10-01	99	4.9	tt2486630	Comedy-Horror
Ferocious	2012	NULL	NULL	2012-09-22	93	3.5	tt1753821	NULL
Futurama: Benders Game	2008	NULL	NULL	2008-11-04	88	7	tt1054486	Animation-Comedy-Science Fiction
Frankie Boyle: Live	2008	NULL	NULL	2008-11-10	90	10	tt1350491	Comedy
Family Thing A	1996	NULL	NULL	1996-03-29	109	4	tt0116275	Drama
Four Sisters and a Wedding	2013	NULL	NULL	2013-07-05	125	NULL	tt3008034	Comedy
Fists of Legend	2013	NULL	NULL	2013-04-10	153	6	tt2828840	Action-Drama-Foreign
Fairytale	2012	NULL	NULL	2012-01-31	152	NULL	tt2355935	Documentary
Forgetting the Girl	2012	200	NULL	2012-10-11	85	5.5	tt1492842	Drama-Thriller
Free Samples	2012	NULL	NULL	2012-05-20	80	6.4	tt1793223	Comedy
Fukrey	2013	800	5	2013-06-14	140	6.5	tt2806788	NULL
Fish n Chips	2011	NULL	NULL	2011-08-23	102	NULL	tt1920925	Drama
Fast Five	2011	125000000	626137675	2011-04-28	130	7	tt1596343	Action-Crime-Thriller
Forced to Fight	2011	NULL	NULL	2011-01-01	97	3	tt1884312	NULL
Flying Lessons	2010	NULL	NULL	2010-02-04	104	7	tt1210059	Drama-Indie
Future of Hope	2010	NULL	NULL	2010-09-03	75	NULL	tt1664649	NULL
First Dog	2010	NULL	NULL	2010-10-22	90	7.8	tt1400335	Family
Firebreather	2010	NULL	NULL	2010-11-24	90	6.5	tt1782440	Action-Adventure-Animation-Fantasy-Science Fiction-Thriller-Family
Fiona On Fire	1978	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FailSafe	1964	NULL	NULL	1964-10-07	112	6.8	tt0058083	Drama-History-Suspense-Thriller
Five Thirteen	2013	NULL	NULL	2013-06-11	104	2.3	tt1536051	Crime-Drama
FDR: American Badass	2012	NULL	NULL	2012-09-24	93	6	tt1811315	Comedy
Fuoco	1969	NULL	NULL	NULL	NULL	NULL	NULL	NULL
From Here to Eternity	1953	1650000	30500000	1953-08-05	118	7.1	tt0045793	Drama-History-Romance
Funny Face	1957	NULL	NULL	1957-02-13	103	6.8	tt0050419	Comedy-Romance
Figyua na anata	2013	NULL	NULL	2013-06-15	112	3.5	tt2606110	Drama
Frances Ha	2012	NULL	NULL	2012-09-01	86	7.4	tt2347569	Comedy-Drama
Friendship	2010	NULL	NULL	2010-01-14	110	7	tt1247657	Comedy
Florence Nightingale	2008	NULL	NULL	2008-06-01	NULL	NULL	tt1194121	Drama
Faith School Menace	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fired Up	2009	20000000	17231291	2009-02-20	90	7.1	tt1083456	Comedy-Romance-Family
Force of Execution	2013	10000000	NULL	2013-12-31	98	6	tt2611626	Action-Crime
Free Birds	2013	NULL	NULL	2013-11-01	91	6.2	tt1621039	Animation-Comedy-Family
For Keeps	1988	NULL	17514553	1988-01-15	98	7.5	tt0095169	Drama-Romance-Family
Fading of the Cries	2011	450000	NULL	2011-07-08	90	NULL	tt1262406	Action-Fantasy-Horror-Mystery
Fruitvale Station	2013	NULL	16097842	2013-07-26	85	7.5	tt2334649	Drama
Fritz The Cat	1972	850000	NULL	1972-04-12	78	8	tt0068612	Animation-Comedy-Drama
Flight Of The Intruder	1991	35000000	NULL	1991-01-18	115	7.1	tt0099587	Action-Adventure-Drama-Thriller
Free Angela and All Political Prisoners	2012	NULL	NULL	2013-04-05	101	7.5	tt2350432	Documentary
Four	2012	NULL	NULL	2012-11-19	NULL	NULL	NULL	NULL
Freezer	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Foxfire	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Free Ride	2013	NULL	NULL	2013-10-10	87	4.8	tt1839482	Action-Drama-Thriller
Filth	2013	NULL	NULL	2013-09-24	97	6.9	tt1450321	Comedy-Crime-Drama
Flowers in the Attic	2014	NULL	NULL	2014-01-18	87	7.6	tt3074694	Drama-Mystery-Thriller-TV Movie
Femme Fatale	2002	35000000	16838910	2002-11-06	114	6.9	tt0280665	Crime-Thriller-Romance
Frozen	2013	150000000	712680546	2013-11-19	102	7.7	tt2294629	Adventure-Animation-Musical-Family
Franck Spadone	2000	NULL	NULL	2000-07-19	85	6	tt0166199	Drama-Thriller-Foreign
Frigjorte De	1993	NULL	NULL	1993-02-26	97	NULL	tt0106969	NULL
Fridge	1995	NULL	NULL	1995-01-01	20	4.5	tt0142301	NULL
Freedom Force	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Friends: Mononokeshima no Naki	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fall of the Roman Empire The	1964	NULL	NULL	1964-03-26	188	8.5	tt0058085	Drama-History
Frosty the Snowman	1969	NULL	NULL	1969-12-07	22	6.1	tt0064349	Animation-Holiday
Frankenstein Created Woman	1967	NULL	NULL	1967-06-18	92	7.3	tt0061683	Horror-Science Fiction
Force 10 from Navarone	1978	NULL	NULL	1978-12-08	118	7.6	tt0077572	Action-Adventure-Thriller-War
Fairy Tail The Phoenix Priestess	2012	NULL	NULL	2012-08-18	86	8.5	tt2085795	Action-Adventure-Animation
Flight of the Phoenix	2004	45000000	21009180	2004-12-17	113	5.6	tt0377062	Action-Adventure-Disaster-Drama-Thriller
Forgotten Silver	1995	NULL	NULL	1995-10-28	53	6.8	tt0116344	Comedy-Documentary-Indie-Foreign
Fighter Squadron	1948	NULL	NULL	1948-11-27	96	NULL	tt0040353	Action-War
Flight of the Phoenix The	1965	NULL	NULL	1965-12-15	142	7.5	tt0059183	Adventure-Drama
Fleur du mal La	2003	NULL	NULL	2003-02-09	104	6.5	tt0322289	Drama-Suspense
Faust	1910	NULL	NULL	1910-06-04	NULL	NULL	tt0001211	NULL
FrackNation	2013	NULL	NULL	2013-01-11	77	7.5	tt2609156	Documentary
Fractured	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
From Justin to Kelly	2003	12000000	4922166	2003-06-20	90	4.3	tt0339034	Comedy-Musical-Romance
Final Exam	1981	NULL	NULL	1981-06-05	90	7	tt0082378	Horror
Fresh Meat	2012	NULL	NULL	2012-10-25	91	3.3	tt2396495	Comedy-Horror
Fade to Black	2004	NULL	NULL	2004-11-07	109	10	tt0428518	Documentary-Music
French Cancan	1955	NULL	NULL	1954-12-27	102	NULL	tt0046998	Comedy-Drama-Musical
Fury at Furnace Creek	1948	NULL	NULL	1948-04-30	88	7	tt0040380	Western
French Lovers	1985	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Frogmen The	1959	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Futurama: Benders Big Score	2007	NULL	NULL	2007-11-27	88	7.7	tt0471711	Animation-Comedy-Science Fiction
Freddy Got Fingered	2001	NULL	NULL	2001-04-19	87	5.1	tt0240515	Comedy
Find Me Guilty	2006	NULL	NULL	2006-03-17	125	6.3	tt0419749	Action-Comedy-Crime-Drama
Fox and the Hound The	1981	NULL	NULL	1981-07-10	83	6.6	tt0082406	Adventure-Animation-Drama-Family
